"type","horse","CO2"
"guards",510,550.27
"guards",510,343.88
"guards",552,511.93
"guards",552,296.63
"guards",565,603.49
"guards",565,353.09
"guards",420,551.4037
"guards",420,333.29
"guards",430,529.36
"guards",430,306.95
"guards",568,536.18
"guards",568,309.22
"guards",211,292
"guards",211,199
"guards",211,308
"guards",211,374
"guards",211,365
"guards",211,323
"guards",211,203
"guards",211,368
"guards",211,363
"guards",211,301
"guards",211,314
"guards",211,200
"forwards",211,309
"forwards",211,338
"forwards",211,332
"forwards",211,282
"forwards",211,189
"forwards",333,374
"forwards",333,393
"forwards",333,233
"forwards",333,362
"forwards",333,379
"forwards",333,488
"forwards",333,448
"forwards",333,363
"forwards",333,391
"forwards",333,236
"guards",211,422
"guards",211,343
"guards",211,429
"guards",211,358
"guards",211,219
"forwards",240,297
"forwards",240,297
"forwards",240,297
"forwards",240,329
"forwards",240,329
"forwards",240,329
"forwards",240,409
"forwards",240,409
"forwards",240,409
"forwards",240,358
"forwards",240,358
"forwards",240,358
"forwards",240,309
"forwards",240,309
"forwards",240,309
"forwards",240,194
"forwards",240,194
"forwards",240,194
"forwards",240,333
"forwards",240,333
"forwards",240,333
"forwards",272,387
"forwards",272,384
"forwards",272,475
"forwards",272,388
"forwards",272,464
"forwards",272,396
"forwards",272,251
"centers",211,358
"centers",211,230
"forwards",211,229
"forwards",211,357
"forwards",240,417
"forwards",240,417
"forwards",240,417
"forwards",240,361
"forwards",240,361
"forwards",240,361
"forwards",240,358
"forwards",240,358
"forwards",240,358
"forwards",240,356
"forwards",240,356
"forwards",240,356
"forwards",240,231
"forwards",240,231
"forwards",240,231
"forwards",240,351
"forwards",240,351
"forwards",240,351
"forwards",240,340
"forwards",240,340
"forwards",240,340
"centers",211,323
"centers",211,324
"centers",211,382
"centers",211,292
"centers",211,223
"centers",272,458
"centers",272,295
"centers",240,402
"centers",240,402
"centers",240,402
"centers",240,502
"centers",240,502
"centers",240,502
"centers",240,480
"centers",240,480
